"ProductId";"ProductName";"CategoryName";"Price";"Supplier";"CreationDate";"CustomerId";"Quantity";"Rate";"InvoiceDate";"InvoiceId"
"2";"voluptate";"molestiae";"74.13";"corporis";"2001-04-15";"1268";"124";"0";"2006-03-29";"2440"
"2";"voluptate";"molestiae";"74.13";"corporis";"2001-04-15";"1268";"124";"7.6";"2006-03-29";"2440"
"2";"voluptate";"molestiae";"74.13";"corporis";"2001-04-15";"1268";"124";"5.8";"2006-03-29";"2440"
"2";"voluptate";"molestiae";"74.13";"corporis";"2001-04-15";"1268";"124";"2.7";"2006-03-29";"2440"
"2";"voluptate";"molestiae";"74.13";"corporis";"2001-04-15";"1268";"124";"3";"2006-03-29";"2440"
"4";"excepturi";"ut";"56.24";"eius";"1972-07-01";"38";"117";"3";"2010-10-02";"715"
"4";"excepturi";"ut";"56.24";"eius";"1972-07-01";"818";"172";"3";"2016-04-07";"1213"
"5";"pariatur";"odit";"61.77";"dolor";"2012-06-10";"1330";"113";"7.4";"1990-12-03";"2120"
"5";"pariatur";"odit";"61.77";"dolor";"2012-06-10";"393";"101";"7.4";"2001-01-12";"1045"
"5";"pariatur";"odit";"61.77";"dolor";"2012-06-10";"1330";"113";"8.3";"1990-12-03";"2120"
"5";"pariatur";"odit";"61.77";"dolor";"2012-06-10";"393";"101";"8.3";"2001-01-12";"1045"
"7";"a";"odit";"58.28";"quis";"1987-05-14";"350";"159";"3.5";"1985-03-03";"1549"
"7";"a";"odit";"58.28";"quis";"1987-05-14";"114";"140";"3.5";"1973-10-12";"2731"
"7";"a";"odit";"58.28";"quis";"1987-05-14";"1990";"75";"3.5";"2022-04-12";"2328"
"9";"esse";"rerum";"21.97";"iusto";"1977-01-20";"71";"195";"8.4";"2019-02-08";"332"
"10";"consequatur";"dolorum";"32.21";"enim";"2002-09-30";"336";"180";"3.4";"1974-02-15";"1940"
"10";"consequatur";"dolorum";"32.21";"enim";"2002-09-30";"336";"180";"7.9";"1974-02-15";"1940"
"10";"consequatur";"dolorum";"32.21";"enim";"2002-09-30";"336";"180";"4.2";"1974-02-15";"1940"
"10";"consequatur";"dolorum";"32.21";"enim";"2002-09-30";"336";"180";"1.2";"1974-02-15";"1940"
"13";"quibusdam";"culpa";"64.29";"expedita";"2011-05-19";"1680";"89";"0.8";"2003-03-07";"1722"
"14";"nihil";"labore";"90.27";"distinctio";"2009-06-03";"1326";"33";"9.5";"2019-04-25";"1361"
"14";"nihil";"labore";"90.27";"distinctio";"2009-06-03";"946";"20";"9.5";"1974-03-28";"223"
"14";"nihil";"labore";"90.27";"distinctio";"2009-06-03";"1326";"33";"10";"2019-04-25";"1361"
"14";"nihil";"labore";"90.27";"distinctio";"2009-06-03";"946";"20";"10";"1974-03-28";"223"
"15";"ea";"eos";"22.70";"qui";"2013-06-27";"1080";"18";"9.2";"1975-06-22";"1954"
"15";"ea";"eos";"22.70";"qui";"2013-06-27";"1094";"1";"9.2";"1985-03-18";"2667"
"17";"laboriosam";"temporibus";"17.67";"repellendus";"1974-12-14";"290";"174";"9.8";"1978-12-17";"1144"
"17";"laboriosam";"temporibus";"17.67";"repellendus";"1974-12-14";"290";"174";"6.7";"1978-12-17";"1144"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"1202";"33";"6.4";"1990-01-28";"348"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"932";"156";"0";"2004-06-02";"807"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"1583";"89";"6.4";"2001-12-27";"2137"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"1202";"33";"0";"1990-01-28";"348"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"932";"156";"6.4";"2004-06-02";"807"
"18";"perspiciatis";"rerum";"40.43";"praesentium";"1980-07-28";"1583";"89";"0";"2001-12-27";"2137"
"19";"quam";"sapiente";"37.09";"et";"2001-09-10";"366";"190";"6.2";"1974-06-21";"182"
"19";"quam";"sapiente";"37.09";"et";"2001-09-10";"1411";"169";"6.2";"1987-02-06";"1794"
"21";"quasi";"natus";"1.28";"exercitationem";"1975-01-28";"671";"142";"6";"2018-02-21";"1705"
"21";"quasi";"natus";"1.28";"exercitationem";"1975-01-28";"671";"142";"1";"2018-02-21";"1705"
"21";"quasi";"natus";"1.28";"exercitationem";"1975-01-28";"671";"142";"1.4";"2018-02-21";"1705"
"23";"quod";"dolores";"70.34";"fugiat";"2014-11-11";"429";"36";"3.7";"1996-09-07";"2462"
"23";"quod";"dolores";"70.34";"fugiat";"2014-11-11";"429";"36";"1.2";"1996-09-07";"2462"
